COD,First_NOM_,First_DIR_,First_POB_,First_POB1,UTM_X,UTM_Y,LONG,LAT,LAT_LON,LONGDEC,LATDEC
1,Complejo Polideportivo Municipal Las Torres,"C/. Tágara, s/n", ,Adeje,329277.568105,3111884.38842,"16º 44' 17.36126""","28º 07' 17.46193""",28º 07' 17.46'' N   16º 44' 17.36'' W,-16.7381559056,28.1215171944
2,Pabellón C.E.O. Andrés Orozco,"Avda. Principes de España, s/n", ,Arafo,360544.573356,3134980.79058,"16º 25' 21.61768""","28º 20' 00.99639""",28º 20' 1'' N   16º 25' 21.62'' W,-16.4226715778,28.3336100833
3,Colegio Echeyde III,"C/. El Vivo, s/n",Buzanada,Arona,336526.203833,3104580.9219,"16º 39' 48.11714""","28º 03' 23.51188""",28º 03' 23.51'' N   16º 39' 48.12'' W,-16.6633658722,28.0565310556
4,Pabellón I.E.S. Cabo Blanco,Ctra. General Cabo Blanco-La Camella,Cabo Blanco,Arona,335547.381223,3107036.60029,"16º 40' 25.19565""","28º 04' 42.84662""",28º 04' 42.85'' N   16º 40' 25.2'' W,-16.6736654583,28.0785685
5,Pabellón Las Galletas,"Avda. Principe Felipe, 20",Las Galletas,Arona,337179.199244,3099289.59393,"16º 39' 21.57318""","28º 00' 31.91498""",28º 00' 31.91'' N   16º 39' 21.57'' W,-16.65599255,28.00886525
6,Polideportivo Valle San Lorenzo,"C/. El Culantro, s/n",Valle San Lorenzo,Arona,337093.887371,3108624.96464,"16º 39' 29.34726""","28º 05' 35.13106""",28º 05' 35.13'' N   16º 39' 29.35'' W,-16.6581520167,28.0930919444
7,Pabellón Municipal de Buenavista,Bajada Campo Fútbol, ,Buenavista del Norte,319135.057882,3139611.79747,"16º 50' 44.44584""","28º 22' 13.20216""",28º 22' 13.2'' N   16º 50' 44.45'' W,-16.8456794,28.3703339167
8,Pabellón C.E.I.P. Punta Larga,"C/. Batayola, s/n", ,Candelaria,365890.360556,3138087.87266,"16º 22' 06.63002""","28º 21' 43.94495""",28º 21' 43.94'' N   16º 22' 6.63'' W,-16.3685083389,28.3622069167
9,Pabellón El Chorrillo,"Camino de Candelaria, s/n",El Chorrillo,El Rosario,370067.213693,3143412.26773,"16º 19' 35.37686""","28º 24' 38.43825""",28º 24' 38.44'' N   16º 19' 35.38'' W,-16.3264935722,28.4106772778
10,Pabellón Lomo Pelado,"C/. Doctor Caldera, s/n",La Esperanza,El Rosario,365950.22694,3146622.84233,"16º 22' 07.99412""","28º 26' 21.24309""",28º 26' 21.24'' N   16º 22' 7.99'' W,-16.3688872556,28.4392341667
11,Pabellón Paulino Rivero Baute,"C/. San Cristóbal, 166",Ravelo,El Sauzal,360508.331404,3148387.00034,"16º 25' 28.76976""","28º 27' 16.50097""",28º 27' 16.5'' N   16º 25' 28.77'' W,-16.4246582667,28.4545835833
12,Pabellón Municipal de Garachico,"C/. Santo Domingo, s/n", ,Garachico,327621.698304,3139801.59433,"16º 45' 32.89683""","28º 22' 23.48876""",28º 22' 23.49'' N   16º 45' 32.9'' W,-16.7591380083,28.3731913056
